country,scenario,temp,precip
Nicaragua,present,247.80974955985016,1646.4833247203267
Nepal,present,213.17447131163206,1675.625231152252
Panama,present,233.0371564211654,2867.5779616573022
Peru,present,165.16021589718008,847.4048885228096
Philippines,present,256.45874108717095,2439.399325133821
Papua New Guinea,present,229.74168385123662,2882.82319810079
Puerto Rico,present,231.16702518449412,2026.7087633929752
Paraguay,present,212.17769007775917,1626.2150683962686
Rwanda,present,186.0358046960518,1291.0429774681152
Sierra Leone,present,262.4343049248345,3006.3069438201387
El Salvador,present,237.31319627048663,1875.2508744674244
Suriname,present,272.3584455404545,1873.769637549644
Togo,present,258.1421656684738,1315.7717644139761
Thailand,present,267.1896895912585,1407.473275802675
Timor-Leste,present,244.9639395852909,1721.431069614346
Trinidad and Tobago,present,259.3139438217516,1981.783489133217
Tanzania,present,210.2529451684112,1107.32852632756
Uganda,present,218.3971413919291,1302.9472188666473
United States,present,146.484269144937,1496.396786482045
Venezuela,present,255.00375147867842,1099.5570263953439
Vietnam,present,220.8015834488285,1797.3331480835245
Yemen,present,194.38261043862852,257.34457660388983
Zambia,present,211.8495514264243,1053.710976702755
Zimbabwe,present,197.16754841550804,825.2726449153271
Angola,in85bi50,231.97223178047545,751.8628957610094
Burundi,in85bi50,213.8810384805308,1261.4957563102607
Benin,in85bi50,288.6112393472495,905.9717376083958
Belize,in85bi50,265.83527590840725,2639.2804079942853
Bolivia,in85bi50,151.1052523224893,915.8056065759199
Brazil,in85bi50,225.32033876022297,1305.3398898534474
Central African Republic,in85bi50,268.6502807747332,1526.9110483023546
China,in85bi50,197.60743475907418,1535.6122751053854
Côte d'Ivoire,in85bi50,272.0864548808251,1433.2827717516002
Cameroon,in85bi50,247.98345474551826,1858.6337675505097
Democratic Republic of the Congo,in85bi50,224.87857427170644,1613.0876650396754
Republic of Congo,in85bi50,251.550062148137,1768.0335210664953
Colombia,in85bi50,217.06278759735324,2315.430208853619
Costa Rica,in85bi50,244.62844556158333,2584.0447629299983
Cuba,in85bi50,257.20767361133505,1240.5876190421254
Dominican Republic,in85bi50,246.52801399901557,1187.0641381748526
Ecuador,in85bi50,227.75539468874908,1038.3751475085803
Ethiopia,in85bi50,218.74193271040468,1283.5222180966812
Gabon,in85bi50,261.33320722835305,1987.35350587774
Ghana,in85bi50,279.70662737468155,1165.7202670395602
Guinea,in85bi50,262.8884020001275,1729.1217619255242
Equatorial Guinea,in85bi50,244.98150851632144,2399.8605839000247
Guatemala,in85bi50,227.53069412924984,1773.2462439690144
Guyana,in85bi50,274.6069436610246,1810.3499219294795
Honduras,in85bi50,246.14018268098928,1222.0761428352914
Haiti,in85bi50,254.48403651819922,1431.7941660129695
Indonesia,in85bi50,243.62364745428667,2808.564020838035
India,in85bi50,261.61377999439844,864.8704846438559
Jamaica,in85bi50,246.41365126833824,2191.897978572547
Kenya,in85bi50,239.38158467641537,920.4575628904655
Cambodia,in85bi50,288.37618374739867,1644.0564788780684
Lao PDR,in85bi50,217.12083207647171,1644.4602646474257
Liberia,in85bi50,273.72953802059334,2716.742452715019
Sri Lanka,in85bi50,278.04987147562593,1917.069546020905
Madagascar,in85bi50,226.30703582001823,1869.8738963192204
Mexico,in85bi50,237.3499143475488,1445.3214010764093
Myanmar,in85bi50,214.84235632497922,1718.7294799880226
Mozambique,in85bi50,238.9489490981104,1105.1782948696527
Malawi,in85bi50,252.2068993247979,1404.671027663799
Malaysia,in85bi50,274.8941180294297,2664.6982351965066
Nigeria,in85bi50,278.0492696663742,1257.1772419230247
Nicaragua,in85bi50,265.5563684690109,1351.6278695265642
Nepal,in85bi50,228.69349056210868,1768.2434897393487
Panama,in85bi50,246.00195680832545,2755.082862469644
Peru,in85bi50,178.51523302551786,875.0475000984338
Philippines,in85bi50,268.11585924900567,2659.667675499354
Papua New Guinea,in85bi50,240.63921261083132,2963.496105476599
Puerto Rico,in85bi50,243.45518144067756,1826.5958973938407
Paraguay,in85bi50,232.4263758957423,1666.0517392008123
Rwanda,in85bi50,201.720627202168,1315.8713670656052
Sierra Leone,in85bi50,280.4598935587188,2693.522705334395
El Salvador,in85bi50,254.87955075953334,1598.0303433933861
Suriname,in85bi50,282.5428007068768,1794.4874725172253
Togo,in85bi50,274.1475890979433,1090.269758188721
Thailand,in85bi50,279.97989021042997,1490.343893040027
Timor-Leste,in85bi50,255.90306904398074,1680.135477419851
Trinidad and Tobago,in85bi50,270.48383744902577,1714.419170437731
Tanzania,in85bi50,224.6484794736095,1094.5367996576765
Uganda,in85bi50,233.191215050703,1376.9415043880254
United States,in85bi50,156.6020322544384,1344.351504386756
Venezuela,in85bi50,271.27372038276417,912.7563053579551
Vietnam,in85bi50,232.7158055597107,1877.785530729145
Yemen,in85bi50,212.85652209800895,270.4952344673859
Zambia,in85bi50,225.66233884966132,1021.7453115568806
Zimbabwe,in85bi50,212.01291198353906,814.8278964290037
Angola,no85bi50,234.2499600062391,782.46453556367
Burundi,no85bi50,219.43511904318964,1214.9528356414462
Benin,no85bi50,291.0363156718873,1130.7921616984852
Belize,no85bi50,269.5331489988135,2536.3008635621836
Bolivia,no85bi50,159.23638432782877,965.2893891003132
Brazil,no85bi50,229.35528016186163,1367.8215253337466
Central African Republic,no85bi50,273.73816248331985,1678.4818978309058
China,no85bi50,205.62797088658508,1617.8396190479525
Côte d'Ivoire,no85bi50,277.33070246840174,1530.0442023394949
Cameroon,no85bi50,250.03829998921094,1840.407785270047
Democratic Republic of the Congo,no85bi50,229.61458382169906,1568.1524221996426
Republic of Congo,no85bi50,256.1550128078944,1898.1111045213024
Colombia,no85bi50,223.80396266722616,2811.4030236260555
Costa Rica,no85bi50,246.90067443860292,2353.7542713664848
Cuba,no85bi50,260.98365753873964,977.72462079396
Dominican Republic,no85bi50,247.03383871670644,892.6199575484098
Ecuador,no85bi50,234.61493783470456,1164.9166494979124
Ethiopia,no85bi50,221.84098569167372,1245.3276659031394
Gabon,no85bi50,265.02534439515523,2217.5722934287423
Ghana,no85bi50,282.7163795927683,1355.488201693585
Guinea,no85bi50,266.10817484735213,1816.0875409992273
Equatorial Guinea,no85bi50,247.12301905958114,2618.6129076877546
Guatemala,no85bi50,232.48544415959495,1439.0035309049047
Guyana,no85bi50,285.68781093881546,1564.5458555743903
Honduras,no85bi50,248.72993056890988,1109.1492884925005
Haiti,no85bi50,253.9151780739574,1033.0680094200911
Indonesia,no85bi50,248.21752439858278,2877.323635000666
India,no85bi50,265.87190215358675,858.7077689502055
Jamaica,no85bi50,249.55324677312012,1542.3863402520903
Kenya,no85bi50,242.46495355554896,842.0090226474881
Cambodia,no85bi50,292.51823073339887,1692.6120409694124
Lao PDR,no85bi50,224.87995277777674,1602.7758308178973
Liberia,no85bi50,275.1744198806429,2889.848399412841
Sri Lanka,no85bi50,282.407248658125,2585.3741518740094
Madagascar,no85bi50,229.23564366563738,1694.198006184321
Mexico,no85bi50,242.8262594601652,1363.8203477899121
Myanmar,no85bi50,222.7106356270333,1773.2061009240613
Mozambique,no85bi50,241.31294340599788,1165.9047337231325
Malawi,no85bi50,256.23274803305844,1497.4502215150176
Malaysia,no85bi50,279.4806542940223,2932.963119616771
Nigeria,no85bi50,280.1659883851372,1335.434285722968
Nicaragua,no85bi50,266.32979251026245,1158.616591803602
Nepal,no85bi50,237.60934526823482,1823.9186130143214
Panama,no85bi50,249.83564617776463,2630.967642053547
Peru,no85bi50,185.55806116233077,949.2911277739396
Philippines,no85bi50,273.28648662201516,2767.7762134702234
Papua New Guinea,no85bi50,245.27154615080946,3255.794852144919
Puerto Rico,no85bi50,245.61219209629093,1554.1131794476223
Paraguay,no85bi50,235.8389756527968,1689.4900885778238
Rwanda,no85bi50,206.20546723390302,1299.0143031717398
Sierra Leone,no85bi50,278.7378684250927,2962.465636900301
El Salvador,no85bi50,257.43088600639163,1260.477714130345
