country,scenario,temp,precip
Nigeria,in85bi50,278.0476493564577,1329.948040526498
Nicaragua,in85bi50,276.722034024394,1558.3080026295324
Nepal,in85bi50,228.69349056210868,1768.2434897393487
Panama,in85bi50,254.90786688836002,2549.4754335355988
Peru,in85bi50,174.79593799194598,978.991790316518
Philippines,in85bi50,256.1289355741326,2629.6408908790117
Papua New Guinea,in85bi50,240.63776934500652,2963.5898273210896
Puerto Rico,in85bi50,243.45518144067756,1826.5958973938407
Paraguay,in85bi50,235.63276491887922,1575.6220014719138
Rwanda,in85bi50,206.92176272199907,1119.4977807306532
Sierra Leone,in85bi50,280.4626129399317,2693.8663860848633
El Salvador,in85bi50,264.9852994042271,1550.8349747448738
Suriname,in85bi50,282.5428007068768,1794.4874725172253
Togo,in85bi50,283.7593108920961,874.3338885947785
Thailand,in85bi50,275.42828882430103,2487.568307349953
Timor-Leste,in85bi50,255.90306904398074,1680.135477419851
Trinidad and Tobago,in85bi50,270.48383744902577,1714.419170437731
Tanzania,in85bi50,243.83217257725568,1137.8925983761635
Uganda,in85bi50,235.87480578498605,1362.3823249709903
United States,in85bi50,156.6020322544384,1344.351504386756
Venezuela,in85bi50,276.62631267402406,825.608895923101
Vietnam,in85bi50,245.2239630351385,2036.7764590525876
Yemen,in85bi50,198.29534490029974,279.5211155363216
Zambia,in85bi50,222.33800364967678,1123.045100233275
Zimbabwe,in85bi50,223.76539418843706,587.8320475054937
Angola,no85bi50,234.2506213313304,782.4152616888412
Burundi,no85bi50,214.96258085530582,1228.315282198945
Benin,no85bi50,291.60260928789376,1074.6036818766574
Belize,no85bi50,254.99146633420182,1788.7384554184907
Bolivia,no85bi50,264.2479227236806,1526.1806192566971
Brazil,no85bi50,246.73196014492112,1461.9785933738515
Central African Republic,no85bi50,273.7335971682639,1678.4751292861586
China,no85bi50,203.5875832288619,1555.234734176708
Côte d'Ivoire,no85bi50,280.51509777324844,1493.755742450612
Cameroon,no85bi50,254.6263295768596,1876.998881351989
Democratic Republic of the Congo,no85bi50,257.77268135607784,1690.5195448622924
Republic of Congo,no85bi50,255.01390204471775,1761.9830690349465
Colombia,no85bi50,253.75656145543005,3440.6454908363107
Costa Rica,no85bi50,263.28396467800724,2380.4204348673156
Cuba,no85bi50,260.970519797729,977.9157628160829
Dominican Republic,no85bi50,246.9657640028568,892.6877850822164
Ecuador,no85bi50,251.42911075689221,3315.714424168679
Ethiopia,no85bi50,217.69641511816647,1027.5140183937983
Gabon,no85bi50,254.2455123211299,1770.9353738359162
Ghana,no85bi50,284.0275146451585,1687.5160534463869
Guinea,no85bi50,266.1084295537544,1816.1070163043646
Equatorial Guinea,no85bi50,248.24289772847996,2069.6631531778867
Guatemala,no85bi50,231.94760562189336,1415.3727483852888
Guyana,no85bi50,285.68781093881546,1564.5458555743903
Honduras,no85bi50,250.8382999498448,1077.745648317664
Haiti,no85bi50,253.90081013778783,1033.0095591470192
Indonesia,no85bi50,261.1572281424117,2507.9754088279315
India,no85bi50,259.16680034314874,2279.901901090698
Jamaica,no85bi50,249.55666828962174,1542.4468833403223
Kenya,no85bi50,281.4053827765948,479.06215356579924
Cambodia,no85bi50,263.57891400502655,2282.79205193465
Lao PDR,no85bi50,227.834175330893,1577.6153259849302
Liberia,no85bi50,275.1740627700858,2889.8258777832807
Sri Lanka,no85bi50,282.40753679100897,2585.390230410368
Madagascar,no85bi50,229.10408054429797,1690.993265162071
Mexico,no85bi50,242.20664608923428,1151.269858850546
Myanmar,no85bi50,276.6376566883966,3357.5453292320294
Mozambique,no85bi50,251.11730956931004,1075.4301854531648
Malawi,no85bi50,228.51932375177844,1049.3863833234807
Malaysia,no85bi50,279.4806542940223,2932.963119616771
Nigeria,no85bi50,280.07246825708563,1403.6143123940537
Nicaragua,no85bi50,277.5977719268398,1287.9051230790333
Nepal,no85bi50,237.60934526823482,1823.9186130143214
Panama,no85bi50,261.03597275413625,2404.79455826434
Peru,no85bi50,181.95667371451756,1047.573670175161
Philippines,no85bi50,260.3856804731253,2698.310139674274
Papua New Guinea,no85bi50,245.27005293959942,3255.897139440075
Puerto Rico,no85bi50,245.61219209629093,1554.1131794476223
Paraguay,no85bi50,239.5816800332754,1519.6185517935078
Rwanda,no85bi50,211.2246330447282,1106.413521324216
Sierra Leone,no85bi50,278.740633089461,2962.870227136243
El Salvador,no85bi50,267.2469707088257,1231.5172234303473
Suriname,no85bi50,292.5247249311922,1510.959524998752
Togo,no85bi50,286.58790050222854,1072.6043415120757
Thailand,no85bi50,279.76407020487375,2699.9346324855314
Timor-Leste,no85bi50,258.94318619963167,1913.753774378587
Trinidad and Tobago,no85bi50,274.7942591525072,1284.1062765588492
Tanzania,no85bi50,248.46089975751704,1124.1447676908563
