"country","variety","coeff","value"
"Yemen","arabica","precip",-1.16970774365706
"Jamaica","arabica","precip",0.910401770747855
"Samoa","combined","precip",-2.12437901458077
"Kenya","arabica","precip",-0.0308888499747436
"Kenya","combined","precip",-2.0695323334758
"India","combined","precip",-2.12437901458077
"Saint.Lucia","combined","precip",-2.12437901458077
"Rwanda","arabica","precip",0.368864941700116
"Peru","arabica","precip",0.0188272761667872
"Vanuatu","combined","precip",-2.12437901458077
"Malawi","arabica","precip",0.138720298050748
"Benin","robusta","precip",-0.481492479888933
"Benin","combined","precip",-2.0816317556158
"Cuba","arabica","precip",-1.40755681329383
"Togo","robusta","precip",2.00508785049651
"Tonga","combined","precip",-2.12437901458077
"Indonesia","combined","precip",-1.86845193723499
"Mauritius","combined","precip",-2.12437901458077
"Angola","combined","precip",-2.3550591435768
"Angola","robusta","precip",0.233567658427749
"Trinidad.and.Tobago","combined","precip",-1.78722175096688
"Nicaragua","arabica","precip",1.71986191474907
"Malaysia","robusta","precip",-2.72807041212247
"Mozambique","combined","precip",-2.03521629542384
"Uganda","combined","precip",-1.66733250891461
"Brazil","combined","precip",0.346797038267335
"Guinea","robusta","precip",-2.8579286821982
"Panama","arabica","precip",0.0310203486450154
"Costa.Rica","arabica","precip",0.753247910489564
"Nigeria","robusta","precip",-2.09835763108441
"Ecuador","combined","precip",-2.99585254802824
"El.Salvador","arabica","precip",0.358085106782129
"Puerto.Rico","combined","precip",-1.49755265288149
"Thailand","combined","precip",-3.201720412403
"Thailand","robusta","precip",0.688363123284007
"Haiti","arabica","precip",-0.142245231193202
"Belize","combined","precip",-1.89860068750444
"Sierra.Leone","robusta","precip",2.40728535445418
"Philippines","combined","precip",-1.64850850155923
"Timor.Leste","combined","precip",-2.47024858782971
"Colombia","arabica","precip",-0.829421696148824
"Burundi","combined","precip",-2.31134448504165
"Burundi","arabica","precip",0.0433629917478901
"Fiji","combined","precip",-2.12437901458077
"Madagascar","combined","precip",-1.37837724355786
"Nepal","combined","precip",-2.12437901458077
"Suriname","combined","precip",-10.2713057389212
"Zambia","arabica","precip",-0.869614739824797
"Papua.New.Guinea","combined","precip",-0.251898002536927
"Zimbabwe","arabica","precip",0.585600992129039
"New.Caledonia","combined","precip",-2.12437901458077
"New.Caledonia","arabica","precip",-0.156498690775932
"Paraguay","arabica","precip",-0.394298233452087
"Guyana","robusta","precip",-0.0818632937072961
"Guyana","arabica","precip",-0.491090171757881
"Guyana","combined","precip",-2.14665719588491
"Honduras","arabica","precip",-0.672492332081352
"Myanmar","combined","precip",-2.64303394839478
"Mexico","combined","precip",-2.12437901458077
"Congo","robusta","precip",0.981300804423176
"Congo","combined","precip",-2.09333183416784
"Sri.Lanka","combined","precip",-2.48698090909415
"Comoros","combined","precip",-2.12437901458077
"Cambodia","combined","precip2",-16.1440112054311
"Ethiopia","arabica","precip2",11.5158478185887
"Cameroon","combined","precip2",-1.09305881180752
"Ghana","robusta","precip2",4.75372852213747
"Saudi.Arabia","combined","precip2",-5.52987425252631
"Guatemala","arabica","precip2",11.0578719946526
"Guatemala","combined","precip2",0.233817641697834
