"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28","PC29","PC30","PC31","PC32","PC33","PC34","PC35","PC36","PC37","PC38","PC39","PC40","PC41","PC42","PC43","PC44","PC45","PC46","PC47","PC48","PC49","PC50","PC51","PC52"
"Kenya",-0.129008077635897,-0.0474822190119533,0.0593348935841834,-0.000273978389698193,-0.0295641927646862,-0.0646711948831076,0.00823693687278565,-0.00251054079047493,-0.0443109803590637,-0.0673331313535971,0.03096391663725,0.00730719051536097,-0.0315506525669087,-0.0267829217288664,0.0280935500290592,0.0232906770577739,0.0425482667332768,0.0544326267876124,0.0082165292197002,-0.000803716771730428,-0.120520949435305,-0.0942410516284279,0.0308937101976906,0.0587227659707245,-0.0178944426370957,-0.0286120991591017,-0.0719832106301735,-0.00706674832009459,0.063302498507496,0.0357622772855801,0.0559110862833709,0.0855951483584519,0.066475342810443,0.0613585058447675,-0.0260915902490309,0.031519140417377,-0.0418644380003475,-0.0473855619729258,-0.00306984446995354,-0.0491549650207438,0.00843367677810006,0.0318147655580253,0.0637810298008452,-0.128667330111579,0.012369562654653,0.136627299636711,0.0492667754033346,-0.039640690967026,0.0217054111148769,-0.0504699993830604,0.00713559722162539,0.0531928876801933
"Land Locked Developing Countries",-0.0236515004103675,-0.0463517517363605,0.0910324267112256,0.0208666909695446,0.196318713015049,-0.135968454413253,-0.167890484615219,-0.0261065357248239,0.0414899269815295,0.0409912652301076,-0.123575121882876,0.0351752090074394,-0.00144234084825783,-0.0540800927197418,-0.0614015210091091,-0.170712727374464,0.0170018995656237,0.0138325198599046,-0.0933014371418542,-0.0271297925601646,-0.0458138575725094,0.0316016169113079,-0.0921557096261759,-0.00833864495594088,0.0617223494322302,-0.0866357786892523,0.0390612581559115,0.0941284623829398,0.084970595452984,-0.0394669498443248,-0.0657476918335419,0.0186030010650517,-0.0123290231608014,-0.0441396208048103,0.0660374740752247,0.0851909218911385,0.063790927747995,-0.0635277164991378,0.0115273139279059,-0.0421111601375411,0.0476500052363255,-0.054769650294382,0.136037711514495,0.0812587796004568,-0.0177922332766927,-0.0106245499788404,0.00550255626575651,0.0151102576014801,0.0267263795109074,0.028110841526925,0.0192696312580217,-0.0063482564467905
"Lao People's Democratic Republic",0.0212488548094819,0.112472422035133,-0.0591248902107437,-0.143449310803614,-0.00652368309247115,-0.0120945986793059,0.0537015094119524,0.0543010312318664,0.0697701148950098,-0.0929818789765789,0.141210534507343,-0.104575758706408,-0.0852437508769834,-0.0171554735135848,0.0230889551366028,0.062895964619058,0.0843629979931278,0.109467860553205,0.0342966749795368,-0.0298128230033935,0.0147420745898969,-0.0032204266813108,0.0792080030397714,0.0578178677184284,0.0820027027900374,-0.120707360715476,0.094316645905542,0.0965569673649777,-0.152635938795068,-0.101666848933315,-0.228165025502592,-0.138156180955813,-0.0416015828482826,0.0112073051880003,0.143028658403412,0.0839972409217518,0.0980959063111295,-0.0983270818484267,-0.0336800280524171,-0.0520335619167503,0.0189882813757826,0.0514311104218235,0.0590840406769742,-0.0261616115458053,0.0587109188531655,0.0435508397412259,-0.149240474791164,-0.184290373180749,-0.0991619832590672,-0.153285747609372,-0.159270490516637,-0.113569067649329
"Least Developed Countries",-0.0170911009481495,0.0170267030399888,0.0497490292200987,0.0109768808858297,0.213445712942368,-0.0969280467578673,-0.237848679612074,-0.169033280769569,-0.024848050200551,-0.0744311924005873,-0.0509728416580301,0.0819455846569617,0.0217243896141147,-0.00214916373266401,-0.0442182252440705,-0.0844763284328996,0.0508054390583426,-0.0471446610779187,-0.0601264744855414,0.0666191111475156,-0.0207541951342033,0.0484693575804532,0.101445184472695,0.0939182904762541,-0.033217725263261,-0.0942372610345005,-0.0186519374018801,-0.0451919797645873,0.058615525732469,0.0366931130687664,0.015612691904748,-0.0330205688250009,-0.0292792170984638,0.050328301169581,-0.02460423809625,-0.0211300481871607,0.017939318357322,-0.033184934365302,0.0376716279044289,0.0776256777973054,-0.0195520183671087,0.00453663591429939,-0.0429866058534802,-0.0225469278888083,-0.0426425283305092,-0.013772958216813,0.0289337425302539,0.0957635902631674,0.0219670284939258,0.00470059902272146,-0.0883275816759597,-0.0373342994938748
"Liberia",-0.127522232235783,0.00923097848350408,-0.0420013976972113,-0.00282270206758864,-0.00240779553601709,-0.0713328333439899,0.0584214574123095,0.0170867315070822,0.108854969671709,0.0077239368979362,-0.00153998566129174,-0.0182472690887608,-0.108030047434286,-0.0224846419693202,0.0577407986444062,0.0253881605671406,0.100383655612169,-0.0260251967005003,0.0905249193945414,-0.0461623103105726,0.00889774798297381,-0.0609163704213969,0.0278987550923018,0.0496372045139534,-0.0286284668722971,0.0397034790128913,0.00378774424007437,0.0570285943988753,-0.0556251886507927,-0.0817917493664232,-0.0347789808363701,0.0149338557458289,0.0555469545887485,-0.0345123125274228,-0.159754427279139,-0.148963291772657,-0.0183357887204092,-0.0724919541786078,-0.154697143511436,0.085995883799166,0.0269877628730399,-0.0422347307093391,-0.0111296840967784,-0.133710115560201,-0.121634832015663,0.0174684730272783,-0.0116007051524629,0.0790672014254819,0.0757676810003875,0.0644395076079756,0.0307905612724613,0.0213120851257478
"Low Income Food Deficit Countries",-0.0407022262197463,0.0372204241868439,0.0420408994044387,-0.0530735821039806,0.276139297523393,-0.0373937486182,-0.0815875870826047,0.0312438408779592,-0.0218473661088103,-0.0882064996384607,0.107433396836619,-0.0798999185020625,0.00217271574320666,-0.0208625108320558,0.0202166925896032,0.0133858370800057,-0.0925521580828875,-0.0127899906846016,0.19809567748922,0.0354105179653172,0.005339218293323,0.0347620206701139,0.0961542771204854,-0.00755418474160875,-0.0163774839580764,-0.0034956224316493,0.0135231014931726,0.00175196471460078,0.0553530165646771,-0.0300037518592349,-0.064328837830122,0.00925260112135069,-0.0805643513216007,0.0901769714333298,0.0059961446195115,0.00955713554652607,-0.0469574777514665,-0.0613045530744444,-0.0882570323672467,0.125393018352198,0.0429348438051211,0.00603474540089454,-0.0715729057451057,0.0319024279832934,-0.0875804534275034,-0.0355934738927023,-0.047984551067375,-0.00152108766188218,0.00683841261779388,-0.0492207183361167,0.0473472386109461,-0.0757894600341872
"Madagascar",-0.090016947817461,0.0661189358283754,-0.0564539958601408,-0.145311404921942,-0.0905277870089411,-0.0220809644303079,-0.0273767526302817,-0.056653005203943,-0.0103571169971305,-0.0191244165476596,-0.103178942417731,0.106652969295524,-0.0459925907614173,0.0238184262207266,0.0452296868676098,-0.0253112108771524,0.000788010525141986,-0.0649570778967706,-0.0261164786127971,0.0355903572574426,-0.0163797618146763,-0.0770551491592324,0.0581078590792509,-0.0603764686878488,-0.0237792828785896,-0.0337989284872149,-0.0136667541158419,0.0847807170040771,0.0147723861689516,-0.00255403028308332,0.118265374193163,-0.0151990628205267,0.044743834299277,0.185173278560567,-0.0882085663720674,0.0127352564687756,0.180406436261192,-0.0385492597486599,0.0784650007169089,0.0257713370161689,-0.171971034625591,0.0142586432674927,0.260276084645403,-0.00865574596907554,0.0494154867970423,0.0253802261015507,-0.0437232912260578,-0.0917566316551264,-0.15819109995599,-0.0340274198690816,-0.0571464315646222,-0.00731796055054266
"Malawi",0.0919974534174379,-0.0136504909878816,0.0844171075867236,-0.0235780421721503,-0.0966129256753432,0.00929870821840176,-0.162981666118406,-0.0399737685221882,0.0578319043200041,-0.201513479518036,0.0472702491328417,-0.0610414476261054,-0.0200482382378366,0.0211554183863388,0.091951303456921,0.0244849470584918,0.0282451674597082,-0.0319618263035223,0.0180446892408091,0.0426967440845639,0.0127165217039881,-0.113705723581567,0.00131579491189308,-0.030370736606169,-0.0618653842914903,-0.0390594022861521,0.0216985680886584,0.066144046325467,-0.0402497700649956,-0.0439482114831492,0.0492209882527834,0.0365099106413953,0.0678627310801858,-0.0940455396450554,-0.00363416764604869,-0.052099870559891,0.0598064452054916,-0.183659475259547,0.0944151842699768,0.0430812941194652,0.0951216761490273,0.0924669152655177,-0.00866479312006015,0.0978848039614046,-0.201766978925964,0.01075612030202,-0.143828386032951,-0.140242597060678,0.107383884691006,-0.10656911550467,0.00475970741973625,0.0455047135531581
"Malaysia",0.0838651731146293,-0.0731493923909337,0.0353983689742706,-0.00825586566420397,0.0151564051524386,-0.0573958350203128,0.026265188454492,0.0135654740834687,0.142312286111024,0.0182661366357601,0.016387912071765,-0.155357310845051,0.0278809724875843,-0.00868669138292826,-0.0674822596643667,-0.00176779744197762,0.203338917435419,0.0677281396415725,0.111498464501633,-0.13215803618894,0.103150009323842,-0.0173795264080694,-0.059687646681128,0.159146987337551,0.147454084779763,0.0517822407396374,0.247144785282118,0.0428304980214516,0.101325929230145,-0.00882739929204464,0.0282440562134039,0.150633532314551,-0.0902440735408157,-0.0747011808505898,0.0233631165917728,0.0646348881042633,-0.04822031533059,0.00290508850459335,0.00703671696568697,-0.0757747523118174,-0.0920015707535366,-0.0305278402377796,-0.0408211901952213,0.0130072627841764,0.163926966939688,-0.108895255679316,-0.079965864050492,0.220736518341624,0.0979000803597547,-0.0996584562508223,0.0565868321998839,0.0402383759416862
"Martinique",0.0201413201555603,0.0134683097939445,-0.0502085801643361,0.190399630710763,0.131619507087549,0.163883937034432,0.0101446504884605,-0.00484347312304851,-0.0518144596703467,0.166931627296704,0.0116767057916672,0.0475557492702986,0.0596533280338033,-0.0494982106052796,0.0667644900571861,-0.0500260846837259,0.0567520743451709,-0.0546289858211262,0.0852788214826249,0.097964644398232,-0.0568517428082594,-0.0230020605645503,0.116762358238988,-0.0756935282685359,-0.0242653887209094,0.174733337550182,0.0712938871236825,-0.149616071835646,-0.0626202347858135,0.0285421971404656,-0.00393530511389504,0.055371287468564,-0.0181515373037486,0.0461742156133871,0.146121948218131,-0.0558761757536063,0.153710398067433,0.0132485344197534,0.0646100882502705,-0.0343454008835538,-0.0131946107010787,0.066987285078189,0.103453974435863,0.0764142754339271,0.0470357212317929,-0.0118107135397461,0.0418845649031051,0.0340829753615489,-0.00371558886876787,-0.0278336205582161,-0.114677732568477,-0.0632775978280828
"Mauritius",0.00170828953707095,-0.0533846277420365,0.0578120038267986,0.0112499444843593,-0.077810033672982,-0.188013654978416,-0.164267308823846,0.0650690165953652,-0.114663075326657,0.0966091884930526,0.113216936058065,-0.0894153726272267,-0.0784795141904539,0.0858941640225219,-0.0311396590915358,0.0849013171822871,-0.139195333712386,0.0229474995825151,-0.083109848150363,0.0424073150916541,-0.0595343301913438,-0.0301669505717662,-0.0204380772773096,-0.157069480723598,-0.171874343382025,-0.0803422544020057,-0.0972310477791815,-0.0358264057818017,-0.0434368391514477,0.0989985579085178,0.100566111255158,-0.0714377153247109,-0.0614434942586473,0.0492638996606006,0.154607631556563,-0.220842518293377,0.0987652178603603,0.0277335165328454,0.102745713102037,0.0654622304290843,-0.203211941264066,0.114801899228975,-0.0166122104671736,-0.0220772762505195,0.1665978235843,0.0345064178153101,-0.0604365488643143,0.0834329155347909,-0.0284334322038621,0.0511855535219601,0.0235781878596101,0.0348183649632442
"Melanesia",-0.0190495657549634,-0.0681459165517896,0.129235464530026,-0.149983836414171,-0.0291221128287431,-0.00951198854186403,-0.104357788341731,-0.0104385642877795,-0.197822253634875,0.150495143525029,-0.0119013779955717,-0.095666161336179,-0.00744035983078498,0.10343775352061,-0.0580710305413794,0.0452615723216222,-0.03782944725483,0.0648414978425657,0.00713712580051787,-0.0937459134129419,-0.0430504676287251,-0.0293064892279447,0.0313380068524721,0.0609248646784442,0.031713737851848,0.00588934583515048,-0.0333880495095093,-0.0566989213095666,0.0317186406712037,0.00115243956267013,-0.0581107202610698,0.0328201530520391,-0.0482380625821949,0.0127899070858554,-0.0226272820330132,-0.0419348397665331,-0.0273130385926307,-0.0604937528706354,-0.0520760231330495,-0.0140776066278623,0.0734250223350787,-0.0271597494552599,0.00180470640423773,0.0070001871261591,0.0232119453268129,-0.0592959027077247,0.0841484461042807,-0.083449807687985,-0.066053713770464,0.000524601913190029,0.0216376888932462,-0.0889653850650136
"Mexico",-0.133404188665456,-0.0469575112362869,0.0504851259150669,0.00950166647643852,0.0048297933030305,0.0108745308198446,0.000851894830965346,0.0428095122217353,-0.0674463702554315,-0.0691494731772534,-0.0141488087132343,0.0185114217307661,0.0829433107147964,0.0114767983889377,0.0194415384008637,0.00663499647273914,0.00731595901874688,-0.0460592078311035,-0.0502389764605227,0.0225239209260854,0.0103499329076591,0.0584708183460141,0.00242198943774664,0.0358231989279786,0.00405599722189977,0.0401494306054957,-0.0381616941025681,0.0259082864578552,-0.0476766357950871,0.0566381369712384,-0.0144374907233105,0.0624016804399566,0.0583051166967733,0.0502928596261906,0.127854348248347,-0.0639949214084086,-0.0614111043758596,0.0473388766880502,0.0689003206217205,-0.0919569888095287,-0.122159948288621,0.0689958029497691,-0.0180138027388394,0.0485539643803255,-0.053428305323656,-0.0570419117666589,0.0342741993061445,0.0205258226218922,0.0222831524102096,-0.08099122314189,-0.0201899642989717,-0.0350251966691845
"Middle Africa",-0.119833950406774,0.0708040286513342,-0.0524344735093482,0.00969229553182746,0.0107510465613745,-0.0389583992038405,-0.103732170724682,-0.0611889914322268,-0.0433015920874241,-0.004178775747098,-0.0220983245547498,0.0416569351355194,0.0615297383251443,-0.0229012595585825,-0.0366300690631873,0.0734331105127989,0.0844153782605586,0.0447573193684179,0.059866206077988,0.031186128473569,0.0142831933788822,0.0436553628655313,0.0505004468981232,0.0180256766185551,-0.119812128395755,0.0612021381730869,0.00757238991518534,-0.0342986985615768,-0.00382200871239088,0.00690684415207114,0.0168006631243071,0.0601095873723399,0.0659866638716679,0.052982808008765,-0.0674177747140459,-0.0283120322567672,0.00523323413142342,0.045003803868508,0.130901829822288,0.00833942197120622,0.0557720562721131,0.088503619564843,0.002124614499471,0.012105021402932,-0.023736189866175,0.0852326275745445,-0.0490510488143711,-0.0345567967386032,0.0540284835232388,0.0294028845539168,0.0616736174879406,-0.0483022751069599
"Mozambique",-0.0613352551240827,0.0680069759917155,-0.0718696890197382,-0.138072755373872,-0.0542453538497203,-0.0970054080482036,0.0152284359055788,-0.0536762715539241,-0.0321418771916988,0.127052328515194,-0.0964310688833031,0.047803261382075,-0.0392722901032477,-0.131534801658555,-0.023854081657038,-0.0331080781080467,-0.0281351631460269,-0.160156555361247,-0.0395820977832035,-0.0410412407196947,0.0430427973445472,0.121204720242146,-0.0671112376643183,0.0386290676240948,0.0599126788674138,-0.056497136484477,0.013120666730289,-0.0862405461756548,0.0610062078145677,0.0976678873627406,-0.0484945918533124,-0.078552382192293,-0.113131437200298,-0.104647241477274,0.11438048327748,-0.0389257931424393,-0.161838413672997,-0.185875002847043,-0.0980223289855841,0.125851299365469,-0.219752102998114,0.0950295218844718,0.194984883018639,-0.0305042416549499,-0.0111303430825898,0.119538581851884,-0.0562210313391126,-0.0918554474651557,0.0960506635718347,-0.107807451389679,0.0280346051737921,-0.00100640195346848
"Myanmar",-0.039769308594689,0.106597027963909,-0.107671284228893,-0.0340765737556836,-0.132348458595462,-0.0859335652052557,-0.0019676792068461,-0.00538520677087422,0.0475472141906177,0.0185323319817488,-0.00554771436901382,-0.0403146557412363,-0.0692913277139108,0.00107846136248988,-0.0147737252207222,0.0314103872414665,0.0376928984846221,0.0387557953117504,-0.000235095026771912,0.114203787447532,-0.126408832960821,-0.052245174116418,-0.183189322945086,0.106072519407663,0.0704092060927388,0.0494278044087097,-0.129700060596419,0.0220090622049575,-0.100249510650536,0.166793092067874,0.0922770644702493,-0.0082991021179707,0.0370780925131303,0.0561426512230428,0.0025887168845597,-0.138537816200237,0.0220598639221756,-0.0035634056804764,-0.0983500463797172,-0.0608787000173522,0.164946964376399,-0.00197554285579792,-0.0641670819895082,0.0866485761776961,-0.115322916843595,-0.102257130467738,-0.00844259162979188,0.039661796264411,0.00446375800439348,-0.234863269321423,-0.0392112687599107,-0.00198265313684819
"Nepal",-0.12722054334511,-0.0505458401327857,0.0336756634730615,-0.0164722095783183,-0.119416713049674,0.00193597905265829,0.00203923530454255,-0.0020371063096344,-0.0224972858229921,0.0327319405695975,0.0582218799146122,0.0536288336356377,0.0361202564229983,0.0118189983751811,0.00916979821499922,0.047987656524945,0.0413039789508464,0.0303686630042268,-0.0147712633012885,0.0454493715468137,-0.0324196311335012,-0.0506847470398151,0.037729617243223,-0.105256953363534,0.0122083756106217,0.0751216467848414,0.0305791647725586,0.075841846036576,-0.0248609359225123,-0.0115125452050248,0.0374794214234089,-0.0360575251677376,-0.105105422375099,0.054828782622305,-0.0171596855790638,0.0547744889842205,-0.0513282195809485,0.0342781227859469,-0.0728055928281044,-0.0542562944822823,0.0427893994089994,-0.0555843366217608,0.0208100620969578,-0.00537686524025541,-0.00860639522260464,-0.0282472488674843,0.070292568536864,0.0898614274202057,0.060280769822458,0.0158331085908996,-0.0242365012047432,-0.0823944241672299
