"distance","diffelev","sddiffelev","crowdist","sdcrowdist","diffpole","sddiffpole","planted","note"
44,-94.1539451205034,533.718040196202,0.116566934959226,0.314175039348493,-0.00021068130951476,0.0462408800000791,0.170662701002389,"shifted"
45,-91.2763672451311,534.693200622075,0.117318254866787,0.313416395060139,7.0614640935761e-05,0.0462503312561044,0.167611646461096,"shifted"
46,-91.0333539579531,539.476241827112,0.113411987797553,0.280785953395262,0.000115992769576804,0.046069448470597,0.166147870645375,"shifted"
47,-89.1255662586226,539.887984813203,0.116337766199459,0.273230815806014,0.000108475498380298,0.0461900061749704,0.163180109446779,"shifted"
48,-99.2092598154424,530.684021400639,0.114482973659401,0.264862102415621,0.000257500254325969,0.0461718594224126,0.162124885770237,"shifted"
49,-91.8287226535104,531.34329448835,0.115132465779277,0.265606788231311,0.000522815229247403,0.0463556297511855,0.159460784060014,"shifted"
50,-95.6636938030551,530.510198615403,0.1150823912201,0.258826785744381,0.000572452057920633,0.0464622625466103,0.156248918770806,"shifted"
51,-89.8127625546197,532.872995001698,0.116071017539642,0.264678650779901,0.000412361868632439,0.0464887382154869,0.152449776405208,"shifted"
52,-92.3269995630585,531.039481944211,0.115824257125752,0.277232062793702,0.000549104233962665,0.0464694885808702,0.151820225237621,"shifted"
53,-90.8431332717667,534.242085887293,0.112047348361783,0.251685274929573,0.000551695929877183,0.0465199525897415,0.149637535206284,"shifted"
54,-94.7998704516345,534.290968188051,0.11314095059712,0.252348816549538,0.000431692711951467,0.0465228521741269,0.147881579341697,"shifted"
55,-91.4646325350911,539.219485658811,0.111290358660943,0.237598952275573,0.000463706022797383,0.046498070132291,0.146203629720446,"shifted"
56,-90.0842163186994,539.99771434226,0.111853589508866,0.255713759580635,0.000387239184924626,0.0463841723070434,0.144829371246709,"shifted"
57,-87.799608809842,545.65580888275,0.11072783695817,0.250751086073156,0.000220703017991655,0.0463384286350359,0.14267562292096,"shifted"
58,-89.8874538833819,543.665605203955,0.115035211796714,0.264922952026075,0.000400997969020693,0.0461775053489813,0.140342341225087,"shifted"
59,-87.8729415736948,547.839318986867,0.111429517434668,0.249745951628177,0.000405163343453279,0.0462202850207391,0.13902189047183,"shifted"
60,-88.0634567695243,547.363578655208,0.112869101589584,0.237153287718162,0.000414614726970397,0.0461922618168368,0.137353911304549,"shifted"
61,-87.1606624004213,544.433588123065,0.106810498092116,0.240874932925393,-1.77873627529958e-05,0.0462166352891467,0.135140774151218,"shifted"
62,-86.7021398591415,543.772344721021,0.111044749853354,0.283611143135526,0.000231175475265665,0.0461736482999731,0.13273094271817,"shifted"
63,-86.4537501832611,550.171413748936,0.107095278940788,0.230747269026169,0.000409409967889853,0.0462383556088084,0.130145215572542,"shifted"
64,-85.8489589480869,547.120925110547,0.111853527450455,0.283670012575445,0.000117846141482899,0.0462134101268506,0.129348317997212,"shifted"
65,-82.6958546959862,553.107181499519,0.106972924806538,0.224369783411418,8.49042270505738e-05,0.0461831903780105,0.126778584493261,"shifted"
66,-83.1555897542956,551.868585285482,0.111950173950059,0.257523665675056,0.000221420501926483,0.0462345013363577,0.125315172488126,"shifted"
67,-84.7385057626765,556.017294467374,0.108566517533161,0.229735830275448,0.000312873543001217,0.0461612223758466,0.124533597991926,"shifted"
68,-84.8306073341882,554.068187720261,0.115918620209467,0.32292189130226,0.000436912554278478,0.0462363984652586,0.122805731840992,"shifted"
69,-83.9741989374858,560.604584897223,0.109707750798354,0.261347643613472,0.000771363589696187,0.0461421624177126,0.121835005705796,"shifted"
70,-91.4806886722736,551.641651831801,0.114386444064812,0.304672146092713,0.000820748888363873,0.0462325714774861,0.119963314600055,"shifted"
71,-93.5016574087887,555.350996862238,0.108680146800801,0.234272010259735,0.000838513819829818,0.0464571616025997,0.117703085204077,"shifted"
72,-95.2381441128228,556.286454335095,0.111722109134114,0.240026471186968,0.000881517420752849,0.0464766874605628,0.115832249965037,"shifted"
73,-91.6352385390002,561.819282334334,0.113483357905896,0.259574606990078,0.00109666822543228,0.0466760123108129,0.114216713725524,"shifted"
74,-90.3264094747274,558.726229176859,0.11065079186327,0.2331716693158,0.000966228092379204,0.0467376208243402,0.113378828239357,"shifted"
