"bioclim","center","unweighted","arabicaed","robustaed"
1,88.2250489236791,0.000223892996921065,0.000268226268270273,0.000120925019519707
1,88.6947162426614,0.00022484906014234,0.000277143392465012,0.000123281839677145
1,89.1643835616438,0.000225922570454775,0.00028577965388893,0.000126272271903666
1,89.6340508806262,0.000227056788449984,0.000293997642270056,0.000129855737109821
1,90.1037181996086,0.00022815683020749,0.000301638501094992,0.000133918497170189
1,90.573385518591,0.000229097265201693,0.000308522552222804,0.000138277319903993
1,91.0430528375734,0.000229737710125211,0.000314455975161733,0.000142694104167156
1,91.5127201565558,0.000229943416986579,0.000319242994202171,0.000146899135684398
1,91.9823874755382,0.000229606170850074,0.000322702352895478,0.000150619437491725
1,92.4520547945205,0.000228660487364608,0.000324686332722391,0.000153608063451331
