"soiltype","component","center","unweighted","arabicaed","robustaed"
"topsoil","silt",43,0.0615385603370217,0.0204729887483618,0.0543296213350234
"topsoil","silt",45,0.0150850581503625,0.0212776925412695,0.0118268160842642
"topsoil","silt",47,0.0437318982513148,0.016215971751476,0.0398529355466949
"topsoil","silt",49,0.0260767931568165,0.0197191870885466,0.0280574006071442
"topsoil","silt",51,0.000354489233673871,1.14015467583828e-05,1.43990288575813e-05
"topsoil","silt",53,0.000639621878150809,0.00292087769001004,0.00503641020823375
"topsoil","silt",55,0.040368103675257,0.0137687689607183,0.0307822184325482
"topsoil","silt",57,0.000711547229910625,0.0147343812647991,0.00680931078444558
"topsoil","silt",59,0.00546118920862848,0.00588170696155466,0.00184655365532405
"topsoil","silt",61,0.0272597083170111,0.00732198850031252,0.0121492488564238
"topsoil","silt",63,0.0617402081982057,0.00559708686244154,0.0282342267427133
"topsoil","silt",65,1.7981337939954e-05,0,0
"topsoil","silt",67,0,0,0
"topsoil","clay",1,0.000961810103500527,0.00487467716502697,0.000398128498241525
"topsoil","clay",3,0.00509155815805018,0.0195212965159843,0.00692087142141401
"topsoil","clay",5,0.0538472404140021,0.096976800672175,0.128241301536791
"topsoil","clay",7,0.0483653080617408,0.0687527486886029,0.109910528051731
"topsoil","clay",9,0.0431774404807767,0.0412214027929989,0.0268324953572904
"topsoil","clay",11,0.132421604129748,0.0593414532857694,0.0851465815736852
"topsoil","clay",13,0.0189601150576573,0.0135219513276328,0.00821889714799645
"topsoil","clay",15,0.00537920230115313,0.010403911570548,0.00669100997603211
"topsoil","clay",17,0.052611911549426,0.0380421771303804,0.0683270454040729
"topsoil","clay",19,0.048118755939081,0.0472494294801978,0.043784029578434
"topsoil","clay",21,0.139924750237563,0.0902121653426695,0.101564262366962
"topsoil","clay",23,0.128178853018979,0.0627777853284142,0.122530967483693
"topsoil","clay",25,0.0843028481906669,0.0574776886877931,0.058278464944846
"topsoil","clay",27,0.0349025348640111,0.0486393045337291,0.0303914546576316
"topsoil","clay",29,0.0574338033233172,0.0740924597798605,0.0497307644517472
"topsoil","clay",31,0.0103898605439556,0.022921849325183,0.0114490679905652
"topsoil","clay",33,0.0217299740606621,0.035318127525533,0.0236451343894885
"topsoil","clay",35,0.00565400518786752,0.0134212061921891,0.00907318254537592
"topsoil","clay",37,0.00309731104091227,0.0141163186388948,0.000344645987428116
"topsoil","clay",39,0.00354290263759405,0.00183311563864308,0.00228208686855436
"topsoil","clay",41,0.0227174666769397,0.0151656222581968,0.0126020569121341
"topsoil","clay",43,0.00776767598941874,0.0116685550408381,0.00541075623932397
"topsoil","clay",45,0.0171738962940134,0.0203961182770382,0.0362219319783093
"topsoil","clay",47,0.00976834373475099,0.0282864400379771,0.0143975865599787
"topsoil","clay",49,0.0124046536713152,0.0319924500238978,0.0161555454256443
"topsoil","clay",51,0.00891696843619183,0.0239449736280144,0.00263189226141469
"topsoil","clay",53,0.00581195264144641,0.00235848352618506,0.00115898815011173
"topsoil","clay",55,0.00499396460949741,0.0170846545105996,0.00346852950479659
"topsoil","clay",57,0.00477309499961476,0.00244307873938876,0.000622691014306564
"topsoil","clay",59,0.001393276318155,0.0219119211559828,0.0102670586045892
"topsoil","clay",61,0.00199167886586027,3.2163660380613e-05,1.07236645086051e-06
"topsoil","clay",63,0.000629221563037685,7.76949624659018e-06,5.38979599840061e-08
"topsoil","clay",65,0.000355702801962177,0.00190164034583273,0.0016367301403013
"topsoil","clay",67,0.000778180137144591,2.35865936781821e-08,2.97929193537882e-08
"topsoil","clay",69,0.00022985848935464,0.000915162937937253,1.38751741096677e-07
"topsoil","clay",71,0.000113003056218974,0.000282565620237096,2.80082381987068e-06
"topsoil","clay",73,0.000439170968487557,0.000668662710258783,0.00159799253079662
"topsoil","clay",75,0.000939979967640059,5.90680556926682e-05,4.534799799083e-05
"topsoil","clay",77,0,0,0
"topsoil","clay",79,0.000243983871381914,2.61377552670528e-05,1.10797723479328e-05
"topsoil","clay",81,0.000350566299406774,0.000138633886753947,6.79057023422747e-06
"topsoil","clay",83,0,0,0
"topsoil","clay",85,3.21031409713513e-05,5.1244547494278e-09,6.47284925658909e-09
"topsoil","clay",87,0,0,0
"topsoil","clay",89,0,0,0
"topsoil","clay",91,8.346816652538e-05,0,0
"topsoil","carb",0.00501746820561753,2.5691255338964e-05,0.000108780629293785,0.000136610198311769
"topsoil","carb",0.00612834950532221,0,0,0
"topsoil","carb",0.00748518298877006,0,0,0
"topsoil","carb",0.00914242314781733,0,0,0
"topsoil","carb",0.0111665808490115,0,0,0
"topsoil","carb",0.0136388926482011,0,0,0
"topsoil","carb",0.0166585810987633,0,0,0
"topsoil","carb",0.0203468369010644,0,0,0
"topsoil","carb",0.0248516827107952,0,0,0
"topsoil","carb",0.0303539138078867,0,0,0
"topsoil","carb",0.0370743540459088,0,0,0
"topsoil","carb",0.0452827182886797,5.52361989787726e-05,0,0
"topsoil","carb",0.0553084370147834,0.000137448216063457,0,0
"topsoil","carb",0.0675538775193844,0.000214521982080349,0.00109858450316903,1.8215768360647e-05
"topsoil","carb",0.0825104923265904,0.00161726452358778,0.000799165534604573,2.55216569599551e-07
"topsoil","carb",0.100778542904851,0.000283888371495552,1.38972489377928e-05,8.84474690923476e-05
"topsoil","carb",0.123091190267348,6.80818266482544e-05,5.61295891876156e-07,6.37027683568878e-05
"topsoil","carb",0.150343919297757,0.000168277722470214,0,0
"topsoil","carb",0.183630477702891,0.00771765310382479,0.0121315489525601,0.00183817240499233
"topsoil","carb",0.22428677194858,0.00653713992099939,0.0129423570630985,0.006571124391918
"topsoil","carb",0.273944481876837,0.0163935900317929,0.0232676782128687,0.0231609633264744
