"variety","center","unweighted","weighted"
"arabica",655,0.00480482222399459,0.00741930568019988
"arabica",665,0.00470210343902489,0.00753527412202004
"arabica",675,0.00458850854741144,0.00692718812689963
"arabica",685,0.00444832761733505,0.00871875027336777
"arabica",695,0.00429243675543989,0.00631374232647214
"arabica",705,0.00402174254563725,0.00634198021654253
"arabica",715,0.00381630497569796,0.00628443488366692
"arabica",725,0.00363745344422128,0.00668645120333811
"arabica",735,0.00350331479561383,0.00592973665392366
"arabica",745,0.0035166078148452,0.00738546403631474
"arabica",755,0.00337884379735631,0.0075446082181897
"arabica",765,0.00349848097043881,0.00588133629124532
"arabica",775,0.00315890475189173,0.00682840958036912
"arabica",785,0.00305981133580346,0.00603347215307848
"arabica",795,0.00301268154034673,0.00678514968576616
"arabica",805,0.00294984181307112,0.0068874528047923
"arabica",815,0.00293654879383987,0.00601196563963613
"arabica",825,0.00294138261901478,0.00577911450906254
"arabica",835,0.0028833767169143,0.00696522824615309
"arabica",845,0.00273594504907537,0.0062864070547165
"arabica",855,0.00275165498089436,0.00568104212441067
"arabica",865,0.00282174544593239,0.00558063082236782
"arabica",875,0.00273715350536918,0.00607427310840891
"arabica",885,0.00272748585501914,0.00532187138744156
"arabica",895,0.00275286343718806,0.0062060266066547
"arabica",905,0.00289062745467683,0.00610264733474897
"arabica",915,0.00287250061027045,0.00456764650671648
"arabica",925,0.00287129215397663,0.00546029842153584
"arabica",935,0.00284712302810142,0.00476657413994042
"arabica",945,0.00305256059804082,0.00459760667804132
"arabica",955,0.00298247013300279,0.00466234169861068
"arabica",965,0.00276857336900693,0.00446672822106797
"arabica",975,0.00289546127985185,0.00451085163223763
"arabica",985,0.00290875429908333,0.00418087307686754
"arabica",995,0.00282899618369503,0.00400887752326207
"arabica",1005,0.00284953994068893,0.00443686829475076
"arabica",1015,0.0028024101452323,0.00482137923845694
"arabica",1025,0.00280120168893849,0.00431158100460838
"arabica",1035,0.00278549175711962,0.00415258869104784
"arabica",1045,0.00286887524138912,0.00464506306609236
"arabica",1055,0.00281812007705118,0.00459249834681263
"arabica",1065,0.00276978182530074,0.00405724429261634
"arabica",1075,0.00294017416272108,0.00394871963849941
"arabica",1085,0.00294984181307112,0.00422866848439474
"arabica",1095,0.00297038557006513,0.00420946152739332
"arabica",1105,0.00296555174488999,0.00430155113949593
"arabica",1115,0.00294863335677742,0.00407003360786717
"arabica",1125,0.00264772773963085,0.00437717041313435
"arabica",1135,0.00346101882533212,0.00929444927000367
"arabica",1145,0.00281449470816986,0.00436235015948971
"arabica",1155,0.00264651928333715,0.00350917691071551
"arabica",1165,0.00274923806830674,0.00318447074619388
"arabica",1175,0.00252083982878593,0.00317684517059902
"arabica",1185,0.00248458613997304,0.00376755717441657
"arabica",1195,0.00239757728682233,0.00338484563327968
"arabica",1205,0.00232506990919656,0.00331025858764356
"arabica",1215,0.00224410333751457,0.00320684743217059
"arabica",1225,0.00213534227107615,0.00275311080518381
"arabica",1235,0.00201933046687497,0.00325093713905655
