"X","Y","row","col"
27.625,-26.2916660308838,45,2492
27.7083339691162,-26.2916660308838,45,2493
27.7916660308838,-26.2916660308838,45,2494
27.875,-26.2916660308838,45,2495
28.0416660308838,-26.2916660308838,45,2497
28.125,-26.2916660308838,45,2498
28.2083339691162,-26.2916660308838,45,2499
28.375,-26.2916660308838,45,2501
28.4583339691162,-26.2916660308838,45,2502
27.7083339691162,-26.2083339691162,46,2493
27.7916660308838,-26.2083339691162,46,2494
27.875,-26.2083339691162,46,2495
27.9583339691162,-26.2083339691162,46,2496
28.0416660308838,-26.2083339691162,46,2497
28.125,-26.2083339691162,46,2498
28.2083339691162,-26.2083339691162,46,2499
28.2916660308838,-26.2083339691162,46,2500
28.375,-26.2083339691162,46,2501
28.4583339691162,-26.2083339691162,46,2502
-60.625,-25.9583339691162,49,1433
-49.7916679382324,-26.125,47,1563
32.4583320617676,-25.9583339691162,49,2550
27.7083339691162,-26.125,47,2493
27.7916660308838,-26.125,47,2494
27.875,-26.125,47,2495
27.9583339691162,-26.125,47,2496
28.0416660308838,-26.125,47,2497
28.125,-26.125,47,2498
28.2083339691162,-26.125,47,2499
28.2916660308838,-26.125,47,2500
28.375,-26.125,47,2501
28.4583339691162,-26.125,47,2502
27.9583339691162,-26.0416660308838,48,2496
28.0416660308838,-26.0416660308838,48,2497
28.125,-26.0416660308838,48,2498
28.2083339691162,-26.0416660308838,48,2499
28.125,-25.9583339691162,49,2498
28.2083339691162,-25.9583339691162,49,2499
29.4583339691162,-25.7916660308838,51,2514
31.0416660308838,-25.7916660308838,51,2533
25.625,-25.875,50,2468
29.125,-25.875,50,2510
29.2083339691162,-25.875,50,2511
32.5416679382324,-25.875,50,2551
28.125,-25.875,50,2498
28.2083339691162,-25.875,50,2499
28.125,-25.7916660308838,51,2498
28.2083339691162,-25.7916660308838,51,2499
28.2916660308838,-25.7916660308838,51,2500
27.9583339691162,-25.625,53,2496
27.2083339691162,-25.7083339691162,52,2487
27.2083339691162,-25.625,53,2487
27.7916660308838,-25.625,53,2494
28.125,-25.7083339691162,52,2498
28.2083339691162,-25.7083339691162,52,2499
28.2916660308838,-25.7083339691162,52,2500
28.375,-25.7083339691162,52,2501
28.125,-25.625,53,2498
-49.375,-25.5416660308838,54,1568
-49.2916679382324,-25.5416660308838,54,1569
-49.2083320617676,-25.5416660308838,54,1570
-49.375,-25.4583339691162,55,1568
-49.2916679382324,-25.4583339691162,55,1569
-49.2083320617676,-25.4583339691162,55,1570
-49.2916679382324,-25.375,56,1569
-49.2083320617676,-25.375,56,1570
-51.4583320617676,-25.375,56,1543
-57.125,-25.375,56,1475
-49.5416679382324,-25.4583339691162,55,1566
-50.625,-25.4583339691162,55,1553
-54.625,-25.5416660308838,54,1505
-54.5416679382324,-25.5416660308838,54,1506
