"variety","center","weighted"
"arabica",-2.05479452054795,0.0207648903261006
"arabica",-1.93737769080235,0.0208404224177185
"arabica",-1.81996086105675,0.0209135253632556
"arabica",-1.70254403131116,0.0209847561756002
"arabica",-1.58512720156556,0.0210524491533383
"arabica",-1.46771037181996,0.0211182666751608
"arabica",-1.35029354207436,0.0211824431730572
"arabica",-1.23287671232877,0.0212433896020897
"arabica",-1.11545988258317,0.021302966364239
"arabica",-0.998043052837573,0.0213609777928074
"arabica",-0.88062622309198,0.0214165299259466
"arabica",-0.763209393346383,0.0214709729647826
"arabica",-0.645792563600786,0.0215240158581026
"arabica",-0.528375733855189,0.0215752956183498
"arabica",-0.410958904109592,0.0216257238659249
"arabica",-0.293542074363994,0.0216749915906395
"arabica",-0.176125244618397,0.0217230945122503
"arabica",-0.0587084148728003,0.0217705907487944
"arabica",0.0587084148727968,0.0218172194035386
"arabica",0.176125244618394,0.0218631699021071
"arabica",0.293542074363991,0.021908737077257
"arabica",0.410958904109588,0.0219537573677158
"arabica",0.528375733855185,0.0219984697598272
"arabica",0.645792563600782,0.0220429933471719
"arabica",0.763209393346379,0.0220872903731613
"arabica",0.880626223091976,0.0221315370433781
"arabica",0.998043052837573,0.0221757547661323
"arabica",1.11545988258317,0.0222200372116222
"arabica",1.23287671232876,0.0222644249703631
"arabica",1.35029354207436,0.0223089048781987
"arabica",1.46771037181996,0.0223536846187595
"arabica",1.58512720156556,0.0223986399255904
"arabica",1.70254403131115,0.0224437958795868
"arabica",1.81996086105675,0.0224893500920557
"arabica",1.93737769080235,0.0225351134509304
"arabica",2.05479452054794,0.0225811478588629
"arabica",2.17221135029354,0.0226275740961791
"arabica",2.28962818003914,0.0226742035742644
"arabica",2.40704500978473,0.0227211189710004
"arabica",2.52446183953033,0.0227683411168217
"arabica",2.64187866927593,0.0228157246046751
"arabica",2.75929549902153,0.0228633408931208
"arabica",2.87671232876712,0.0229111279501646
"arabica",2.99412915851272,0.0229590034726409
"arabica",3.11154598825831,0.0230069844661594
"arabica",3.22896281800391,0.0230549766297556
"arabica",3.34637964774951,0.0231029597359495
"arabica",3.46379647749511,0.0231508476662749
"arabica",3.5812133072407,0.0231985885000463
"arabica",3.6986301369863,0.0232462055074323
"arabica",3.8160469667319,0.0232934618465936
"arabica",3.93346379647749,0.0233404351480396
